"recovery_wave","status","candidate_count","recovered_count","superseded_count","rejected_count","closed_on","baseline_commit","report"
"04-ai-core-delta","closed","5","0","5","0","2026-08-12","9109ee867ca495e2136d0664e919aa260b7f041a","wiki/_outputs/recovery-manifest/closures/04-ai-core-delta.md"
"05-ai-project","closed","56","56","0","0","2026-08-12","1e7356bd72899801265d90a499c1db7e1c645fe5","wiki/_outputs/recovery-manifest/closures/05-ai-project.md"
"06-content-operating-system","closed","49","49","0","0","2026-08-13","2e429040d893d8db28b9756e3337344f009f0dd6","wiki/_outputs/recovery-manifest/closures/06-content-operating-system.md"
